ESTADO;ANO;;MES;VALOR TOTAL;QTDE;TICKET MEDIO
BA;2017;9;65352,43;95;687,920315789474
PR;2016;9;194,47;4;48,6175
PA;2017;11;513;3;171
CE;2018;1;838,17;5;167,634
ES;2017;3;1715,99;18;95,3327777777778
BA;2018;4;10570,52;18;587,251111111111
PB;2017;11;2838,5;3;946,166666666667
PI;2018;8;285;1;285
SC;2017;5;27704,4500000001;196;141,349234693878
PB;2017;3;519,49;6;86,5816666666667
GO;2017;6;2222,03;23;96,61
DF;2018;8;5057,19;57;88,7226315789474
RN;2018;2;94,9;1;94,9
MG;2017;12;51997,0900000002;481;108,102058212059
CE;2016;10;64,9;1;64,9
RS;2018;6;29505,38;153;192,845620915033
